command,man_page_url
chacl,https://man7.org/linux/man-pages/man1/chacl.1.html
chage,https://man7.org/linux/man-pages/man1/chage.1.html
chattr,https://man7.org/linux/man-pages/man1/chattr.1.html
chcon,https://man7.org/linux/man-pages/man1/chcon.1.html
chem,https://man7.org/linux/man-pages/man1/chem.1.html
chfn,https://man7.org/linux/man-pages/man1/chfn.1.html
chgrp,https://man7.org/linux/man-pages/man1/chgrp.1.html
chgrp,https://man7.org/linux/man-pages/man1/chgrp.1p.html
chkhelp,https://man7.org/linux/man-pages/man1/chkhelp.1.html
chmod,https://man7.org/linux/man-pages/man1/chmod.1.html
chmod,https://man7.org/linux/man-pages/man1/chmod.1p.html
choom,https://man7.org/linux/man-pages/man1/choom.1.html
chown,https://man7.org/linux/man-pages/man1/chown.1.html
chown,https://man7.org/linux/man-pages/man1/chown.1p.html
chroot,https://man7.org/linux/man-pages/man1/chroot.1.html
chrt,https://man7.org/linux/man-pages/man1/chrt.1.html
chsh,https://man7.org/linux/man-pages/man1/chsh.1.html
chvt,https://man7.org/linux/man-pages/man1/chvt.1.html
cifsiostat,https://man7.org/linux/man-pages/man1/cifsiostat.1.html
cksum,https://man7.org/linux/man-pages/man1/cksum.1.html
cksum,https://man7.org/linux/man-pages/man1/cksum.1p.html
CLEAR,https://man7.org/linux/man-pages/man1/CLEAR.1.html
clear,https://man7.org/linux/man-pages/man1/clear.1.html
cmp,https://man7.org/linux/man-pages/man1/cmp.1.html
cmp,https://man7.org/linux/man-pages/man1/cmp.1p.html
cmtime,https://man7.org/linux/man-pages/man1/cmtime.1.html
col,https://man7.org/linux/man-pages/man1/col.1.html
colcrt,https://man7.org/linux/man-pages/man1/colcrt.1.html
collectl2pcp,https://man7.org/linux/man-pages/man1/collectl2pcp.1.html
colon,https://man7.org/linux/man-pages/man1/colon.1p.html
colrm,https://man7.org/linux/man-pages/man1/colrm.1.html
column,https://man7.org/linux/man-pages/man1/column.1.html
comm,https://man7.org/linux/man-pages/man1/comm.1.html
comm,https://man7.org/linux/man-pages/man1/comm.1p.html
command,https://man7.org/linux/man-pages/man1/command.1p.html
comp_err,https://man7.org/linux/man-pages/man1/comp_err.1.html
compress,https://man7.org/linux/man-pages/man1/compress.1p.html
continue,https://man7.org/linux/man-pages/man1/continue.1p.html
coredumpctl,https://man7.org/linux/man-pages/man1/coredumpctl.1.html
coreutils,https://man7.org/linux/man-pages/man1/coreutils.1.html
cp,https://man7.org/linux/man-pages/man1/cp.1.html
cp,https://man7.org/linux/man-pages/man1/cp.1p.html
cpp,https://man7.org/linux/man-pages/man1/cpp.1.html
cronnext,https://man7.org/linux/man-pages/man1/cronnext.1.html
crontab,https://man7.org/linux/man-pages/man1/crontab.1.html
crontab,https://man7.org/linux/man-pages/man1/crontab.1p.html
csplit,https://man7.org/linux/man-pages/man1/csplit.1.html
csplit,https://man7.org/linux/man-pages/man1/csplit.1p.html
ctags,https://man7.org/linux/man-pages/man1/ctags.1p.html
cups-config,https://man7.org/linux/man-pages/man1/cups-config.1.html
cups,https://man7.org/linux/man-pages/man1/cups.1.html
cupstestppd,https://man7.org/linux/man-pages/man1/cupstestppd.1.html
curl-config,https://man7.org/linux/man-pages/man1/curl-config.1.html
curl,https://man7.org/linux/man-pages/man1/curl.1.html
cut,https://man7.org/linux/man-pages/man1/cut.1.html
cut,https://man7.org/linux/man-pages/man1/cut.1p.html
cvtsudoers,https://man7.org/linux/man-pages/man1/cvtsudoers.1.html
cxref,https://man7.org/linux/man-pages/man1/cxref.1p.html
danetool,https://man7.org/linux/man-pages/man1/danetool.1.html
dash,https://man7.org/linux/man-pages/man1/dash.1.html
date,https://man7.org/linux/man-pages/man1/date.1.html
date,https://man7.org/linux/man-pages/man1/date.1p.html
dbpmda,https://man7.org/linux/man-pages/man1/dbpmda.1.html
dbprobe,https://man7.org/linux/man-pages/man1/dbprobe.1.html
dd,https://man7.org/linux/man-pages/man1/dd.1.html
dd,https://man7.org/linux/man-pages/man1/dd.1p.html
deallocvt,https://man7.org/linux/man-pages/man1/deallocvt.1.html
debuginfo-install,https://man7.org/linux/man-pages/man1/debuginfo-install.1.html
delta,https://man7.org/linux/man-pages/man1/delta.1p.html
derb,https://man7.org/linux/man-pages/man1/derb.1.html
df,https://man7.org/linux/man-pages/man1/df.1.html
df,https://man7.org/linux/man-pages/man1/df.1p.html
dh,https://man7.org/linux/man-pages/man1/dh.1.html
